Model,Price_Original,Price,Price_VND,Ram_Original,Ram,SSD_Original,SSD,Graphics,GPU,G3Dmark,TDP,Perf_Per_Watt,Price_Objective,Budget_Score,Performance_Score,Energy_Consumption,Efficiency_Score
Apple/MacBook Pro/Ultrabook/13.3/IPS Panel Retina Display 2560x1600/Intel Core i5 2.3GHz,1339.69,1339.69,36171630.0,8GB,8.0,128GB SSD,128.0,Intel Iris Plus Graphics 640,Intel Iris Plus Graphics 640,1790.0,15.0,111.875,0.18597519258924783,0.8140248074107521,0.06122246298302636,0.0,0.6171393920950881
Apple/Macbook Air/Ultrabook/13.3/1440x900/Intel Core i5 1.8GHz,898.94,898.94,24271380.0,8GB,8.0,128GB Flash Storage,128.0,Intel HD Graphics 6000,Intel HD Graphics 6000,873.0,15.0,54.5625,0.11059001409356486,0.8894099859064352,0.036384976525821594,0.0,0.29274062902763853
HP/250 G6/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,575.0,575.0,15525000.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.05518383208133217,0.9448161679186678,0.06762159120495183,0.21212121212121213,0.08967492481741372
Apple/MacBook Pro/Ultrabook/15.4/IPS Panel Retina Display 2880x1800/Intel Core i7 2.7GHz,2537.45,2537.45,68511150.0,16GB,16.0,512GB SSD,512.0,AMD Radeon Pro 455,AMD Radeon Pro 455,3112.0,35.0,86.44444444444444,0.3908381566164497,0.6091618433835503,0.2175722492378241,0.12121212121212122,0.4731980046780276
Apple/MacBook Pro/Ultrabook/13.3/IPS Panel Retina Display 2560x1600/Intel Core i5 3.1GHz,1803.6,1803.6,48697200.0,8GB,8.0,256GB SSD,256.0,Intel Iris Plus Graphics 650,Intel Iris Plus Graphics 650,1790.0,15.0,111.875,0.2653216206231271,0.734678379376873,0.09029223042488682,0.0,0.6171393920950881
Apple/MacBook Pro/Ultrabook/15.4/IPS Panel Retina Display 2880x1800/Intel Core i7 2.2GHz,2139.97,2139.97,57779189.99999999,16GB,16.0,256GB Flash Storage,256.0,Intel Iris Pro Graphics,Intel Iris Pro Graphics,2365.0,45.0,51.41304347826087,0.32285381005158514,0.6771461899484148,0.13919977827609667,0.1818181818181818,0.27491415487301457
Apple/Macbook Air/Ultrabook/13.3/1440x900/Intel Core i5 1.8GHz,1158.7,1158.7,31284900.0,8GB,8.0,256GB Flash Storage,256.0,Intel HD Graphics 6000,Intel HD Graphics 6000,873.0,15.0,54.5625,0.15501895105564906,0.844981048944351,0.06545474396768206,0.0,0.29274062902763853
Asus/ZenBook UX430UN/Ultrabook/14.0/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,1495.0,1495.0,40365000.0,16GB,16.0,512GB SSD,512.0,Nvidia GeForce MX150,Nvidia GeForce MX150,2252.0,25.0,86.61538461538461,0.21253916779552012,0.7874608322044798,0.19427864143717405,0.06060606060606061,0.4741655559105079
Acer/Swift 3/Ultrabook/14.0/IPS Panel Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,770.0,770.0,20790000.0,8GB,8.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.08853632171640463,0.9114636782835954,0.08270826509444262,0.21212121212121213,0.15149291135615067
Apple/MacBook Pro/Ultrabook/15.4/IPS Panel Retina Display 2880x1800/Intel Core i7 2.8GHz,2439.97,2439.97,65879189.99999999,16GB,16.0,256GB SSD,256.0,AMD Radeon Pro 555,AMD Radeon Pro 555,3140.0,75.0,41.31578947368421,0.3741653325670812,0.6258346674329188,0.16019111088714758,0.36363636363636365,0.21776193311576236
Dell/Inspiron 3567/Notebook/15.6/Full HD 1920x1080/Intel Core i3 6006U 2GHz,498.9,498.9,13470300.0,4GB,4.0,256GB SSD,256.0,AMD Radeon R5 M430,AMD Radeon R5 M430,648.0,15.0,40.5,0.04216780920323467,0.9578321907967653,0.04269381944619416,0.0,0.21314442216812257
"Apple/MacBook 12""/Ultrabook/12.0/IPS Panel Retina Display 2304x1440/Intel Core M m3 1.2GHz",1262.4,1262.4,34084800.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 615,Intel HD Graphics 615,692.0,15.0,43.25,0.17275563400517222,0.8272443659948278,0.060552252093359196,0.0,0.22870990262065016
Apple/MacBook Pro/Ultrabook/13.3/IPS Panel Retina Display 2560x1600/Intel Core i5 2.3GHz,1518.55,1518.55,41000850.0,8GB,8.0,256GB SSD,256.0,Intel Iris Plus Graphics 640,Intel Iris Plus Graphics 640,1790.0,15.0,111.875,0.21656712231298658,0.7834328776870134,0.09029223042488682,0.0,0.6171393920950881
Dell/Inspiron 3567/Notebook/15.6/Full HD 1920x1080/Intel Core i7 7500U 2.7GHz,745.0,745.0,20115000.0,8GB,8.0,256GB SSD,256.0,AMD Radeon R5 M430,AMD Radeon R5 M430,648.0,15.0,40.5,0.08426036150677996,0.91573963849322,0.05936048611286082,0.0,0.21314442216812257
Apple/MacBook Pro/Ultrabook/15.4/IPS Panel Retina Display 2880x1800/Intel Core i7 2.9GHz,2858.0,2858.0,77166000.0,16GB,16.0,512GB SSD,512.0,AMD Radeon Pro 560,AMD Radeon Pro 560,3475.0,75.0,45.723684210526315,0.4456645184242573,0.5543354815757426,0.22740431857693566,0.36363636363636365,0.24271138742962234
Lenovo/IdeaPad 320-15IKB/Notebook/15.6/Full HD 1920x1080/Intel Core i3 7100U 2.4GHz,499.0,499.0,13473000.0,8GB,8.0,1TB HDD,204.8,Nvidia GeForce 940MX,Nvidia GeForce 940MX,1508.0,23.0,62.833333333333336,0.04218491304407317,0.9578150869559269,0.0710261869367667,0.04848484848484849,0.3395549906916798
Dell/XPS 13/Ultrabook/13.3/IPS Panel Full HD / Touchscreen 1920x1080/Intel Core i5 8250U 1.6GHz,979.0,979.0,26433000.0,8GB,8.0,128GB SSD,128.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.1242833490688669,0.8757166509311332,0.05363849765258216,0.21212121212121213,0.15149291135615067
Lenovo/Legion Y520-15IKBN/Gaming/15.6/IPS Panel Full HD 1920x1080/Intel Core i5 7300HQ 2.5GHz,999.0,999.0,26973000.0,8GB,8.0,128GB SSD +  1TB HDD,332.8,Nvidia GeForce GTX 1050,Nvidia GeForce GTX 1050,6349.0,75.0,83.53947368421052,0.12770411723656663,0.8722958827634334,0.23121729782391426,0.36363636363636365,0.45675536264763295
Dell/Inspiron 5379/2 in 1 Convertible/13.3/Full HD / Touchscreen 1920x1080/Intel Core i5 8250U 1.6GHz,819.0,819.0,22113000.0,8GB,8.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.096917203727269,0.903082796272731,0.08270826509444262,0.21212121212121213,0.15149291135615067
HP/15-BS101nv (i7-8550U/8GB/256GB/FHD/W10)/Ultrabook/15.6/Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,659.0,659.0,17793000.0,8GB,8.0,256GB SSD,256.0,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.06955105838567108,0.9304489416143289,0.06762159120495183,0.21212121212121213,0.08967492481741372
Dell/Inspiron 3567/Notebook/15.6/1366x768/Intel Core i3 6006U 2GHz,418.64,418.64,11303280.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 520,Intel HD Graphics 520,873.0,15.0,54.5625,0.028440266546255623,0.9715597334537444,0.03716017032427121,0.0,0.29274062902763853
Apple/MacBook Air/Ultrabook/13.3/1440x900/Intel Core i5 1.6GHz,1099.0,1099.0,29673000.0,8GB,8.0,128GB Flash Storage,128.0,Intel HD Graphics 6000,Intel HD Graphics 6000,873.0,15.0,54.5625,0.14480795807506533,0.8551920419249347,0.036384976525821594,0.0,0.29274062902763853
Dell/Inspiron 5570/Notebook/15.6/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,800.0,800.0,21600000.0,8GB,8.0,256GB SSD,256.0,AMD Radeon 530,AMD Radeon 530,1036.0,50.0,20.313725490196077,0.09366747396795425,0.9063325260320457,0.06986969521361922,0.21212121212121213,0.09888658169841041
Dell/Latitude 5590/Ultrabook/15.6/Full HD 1920x1080/Intel Core i7 8650U 1.9GHz,1298.0,1298.0,35046000.0,8GB,8.0,256GB SSD +  256GB SSD,512.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.17884460134367772,0.8211553986563223,0.14084779997816355,0.21212121212121213,0.15149291135615067
HP/ProBook 470/Notebook/17.3/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,896.0,896.0,24192000.0,8GB,8.0,1TB HDD,204.8,Nvidia GeForce 930MX,Nvidia GeForce 930MX,1278.0,17.0,71.0,0.11008716117291298,0.889912838827087,0.0647965011296161,0.012121212121212116,0.3857797508234283
Dell/XPS 13/Ultrabook/13.3/Touchscreen / Quad HD+ 3200x1800/Intel Core i7 8550U 1.8GHz,1869.0,1869.0,50463000.0,16GB,16.0,512GB SSD,512.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.27650753253150523,0.7234924674684948,0.17418113331149687,0.21212121212121213,0.15149291135615067
Apple/MacBook Air/Ultrabook/13.3/1440x900/Intel Core i5 1.6GHz,998.0,998.0,26946000.0,8GB,8.0,256GB Flash Storage,256.0,Intel HD Graphics 6000,Intel HD Graphics 6000,873.0,15.0,54.5625,0.12753307882818166,0.8724669211718183,0.06545474396768206,0.0,0.29274062902763853
Acer/Aspire 3/Notebook/15.6/1366x768/Intel Core i3 7130U 2.7GHz,367.0,367.0,9909000.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.019607843137254895,0.9803921568627451,0.039327017561540986,0.21212121212121213,0.08967492481741372
Dell/Inspiron 5770/Notebook/17.3/IPS Panel Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,979.0,979.0,26433000.0,8GB,8.0,128GB SSD +  1TB HDD,332.8,AMD Radeon 530,AMD Radeon 530,1036.0,50.0,20.313725490196077,0.1242833490688669,0.8757166509311332,0.0873115556787355,0.21212121212121213,0.09888658169841041
HP/250 G6/Notebook/15.6/1366x768/Intel Core i5 7200U 2.5GHz,488.69,488.69,13194630.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.040421507053623955,0.9595784929463761,0.039327017561540986,0.21212121212121213,0.08967492481741372
HP/ProBook 450/Notebook/15.6/Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,879.0,879.0,23733000.0,8GB,8.0,256GB SSD,256.0,Nvidia GeForce 930MX ,Nvidia GeForce 930MX ,1278.0,17.0,71.0,0.1071795082303682,0.8928204917696319,0.07642440810636028,0.012121212121212116,0.3857797508234283
Asus/X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux)/Notebook/15.6/Full HD 1920x1080/Intel Core i3 6006U 2GHz,389.0,389.0,10503000.0,4GB,4.0,1TB HDD,204.8,Intel HD Graphics 620,Intel HD Graphics 620,953.0,50.0,18.686274509803923,0.02337068812172461,0.9766293118782754,0.039327017561540986,0.21212121212121213,0.08967492481741372
Dell/Inspiron 7577/Gaming/15.6/IPS Panel Full HD 1920x1080/Intel Core i7 7700HQ 2.8GHz,1499.0,1499.0,40473000.0,16GB,16.0,256GB SSD +  1TB HDD,460.8,Nvidia GeForce GTX 1060,Nvidia GeForce GTX 1060,10064.0,120.0,83.17355371900827,0.2132233214290601,0.7867766785709399,0.3942433671798231,0.6363636363636364,0.4546841917147074
Asus/X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce/Notebook/15.6/1366x768/Intel Core i5 7200U 2.5GHz,522.99,522.99,14120730.0,8GB,8.0,1TB HDD,204.8,Nvidia GeForce 940MX,Nvidia GeForce 940MX,1508.0,23.0,62.833333333333336,0.046288124461229006,0.953711875538771,0.0710261869367667,0.04848484848484849,0.3395549906916798
Acer/Aspire A515-51G/Notebook/15.6/IPS Panel Full HD 1920x1080/Intel Core i5 8250U 1.6GHz,682.0,682.0,18414000.0,4GB,4.0,256GB SSD,256.0,Intel UHD Graphics 620,Intel UHD Graphics 620,1510.0,50.0,29.607843137254903,0.07348494177852577,0.9265150582214743,0.06604159842777596,0.21212121212121213,0.15149291135615067
Dell/Inspiron 7773/2 in 1 Convertible/17.3/Full HD / Touchscreen 1920x1080/Intel Core i5 8250U 1.6GHz,999.0,999.0,26973000.0,12GB,12.0,1TB HDD,204.8,Nvidia GeForce 150MX,Nvidia GeForce 150MX,1036.0,50.0,20.313725490196077,0.12770411723656663,0.8722958827634334,0.07490845490354171,0.21212121212121213,0.09888658169841041
Apple/MacBook Pro/Ultrabook/13.3/IPS Panel Retina Display 2560x1600/Intel Core i5 2.0GHz,1419.0,1419.0,38313000.0,8GB,8.0,256GB SSD,256.0,Intel Iris Graphics 540,Intel Iris Graphics 540,1452.0,50.0,28.470588235294116,0.19954024875826115,0.8004597512417388,0.08113730084742203,0.21212121212121213,0.1450558499212373
Lenovo/IdeaPad 320-15ISK/Notebook/15.6/1366x768/Intel Core i3 6006U 2GHz,369.0,369.0,9963000.0,4GB,4.0,128GB SSD,128.0,Intel HD Graphics 520,Intel HD Graphics 520,873.0,15.0,54.5625,0.019949919954024863,0.9800500800459752,0.01971830985915493,0.0,0.29274062902763853
Asus/Rog Strix/Gaming/17.3/Full HD 1920x1080/AMD Ryzen 1700 3GHz,1299.0,1299.0,35073000.0,8GB,8.0,256GB SSD +  1TB HDD,460.8,AMD Radeon RX 580,AMD Radeon RX 580,8799.0,150.0,58.271523178807946,0.17901563975206272,0.8209843602479373,0.3266467619071615,0.8181818181818181,0.31373434822316826
Dell/Inspiron 3567/Notebook/15.6/Full HD 1920x1080/Intel Core i5 7200U 2.5GHz,639.0,639.0,17253000.0,4GB,4.0,256GB SSD,256.0,AMD Radeon R5 M430,AMD Radeon R5 M430,648.0,15.0,40.5,0.06613029021797134,0.9338697097820287,0.04269381944619416,0.0,0.21314442216812257
Asus/X751NV-TY001T (N4200/4GB/1TB/GeForce/Notebook/17.3/1366x768/Intel Pentium Quad Core N4200 1.1GHz,466.0,466.0,12582000.0,4GB,4.0,1TB HDD,204.8,Nvidia GeForce 920MX,Nvidia GeForce 920MX,1064.0,16.0,62.588235294117645,0.0365406455673686,0.9634593544326314,0.042333518103252796,0.006060606060606058,0.33816769296863813
Acer/Aspire A515-51G/Notebook/15.6/IPS Panel Full HD 1920x1080/Intel Core i7 8550U 1.8GHz,841.0,841.0,22707000.0,8GB,8.0,256GB SSD,256.0,Nvidia GeForce MX150,Nvidia GeForce MX150,2252.0,25.0,86.61538461538461,0.10068004871173869,0.8993199512882613,0.10280577322011976,0.06060606060606061,0.4741655559105079
